Walltime,Step,Value
1582976943.5237076,30,-0.006127015221863985
1582977061.6440742,60,-0.0048360200598835945
1582977112.8689125,80,-0.0069016097113490105
1582977164.2932336,95,-0.006956938654184341
1582977246.156082,125,-0.009999999776482582
1582977478.024071,185,-0.006127011496573687
1582977547.9879148,205,-0.004190518986433744
1582977603.793374,215,-0.006127012427896261
1582977631.1279838,225,-0.009999999776482582
1582977648.3338227,230,0.0035554529167711735
1582977670.1528223,240,-0.0012857778929173946
1582977772.108203,270,-0.003486341331154108
1582977784.9923863,275,-0.009999999776482582
1582977789.355704,280,-0.009999999776482582
1582977805.7042983,285,-0.006680297665297985
1582977945.3322818,330,-0.010000000707805157
1582978023.7627077,360,0.009364938363432884
1582978049.9633148,365,0.005491944961249828
1582978073.5283573,370,-0.0022540262434631586
1582978092.0777705,375,-0.004190519452095032
1582978149.1746294,400,-0.007418008055537939
1582978314.8218946,440,-0.007418008986860514
1582978472.030226,475,-0.006127013359218836
1582978742.9602458,515,-0.005158767569810152
1582978801.0613961,530,-0.0022540309000760317
1582978836.0496836,535,-0.006901611108332872
1582978932.007099,570,-0.0022540257778018713
1582979015.989855,595,-0.008709005080163479
1582979127.9542987,635,0.009364936500787735
1582979167.1385872,650,-0.0075793820433318615
1582979182.1079612,655,-0.00483601912856102
1582979320.9342117,700,-0.009999999776482582
1582979351.488262,710,-0.003222275525331497
1582979392.8726778,715,-0.00354502210393548
1582979416.9900687,720,-0.004467163234949112
1582979548.7711968,755,-0.009999999776482582
1582979634.2463825,785,-0.00612701615318656
1582979662.0366127,795,-0.006514311768114567
1582979676.67281,800,-0.00483601912856102
1582979727.4951947,820,-0.008547629229724407
1582979810.3098476,845,-0.008450806140899658
1582979827.5049767,850,0.005491940770298243
1582979876.1760056,865,-0.006127014756202698
1582979973.9681735,895,-0.00741800619289279
1582979993.7622101,900,-0.0035450246650725603
1582980016.181784,910,-0.0009630353888496757
1582980062.965199,925,0.0003279631491750479
1582980089.991388,935,0.0016189627349376678
1582980100.699327,940,-0.006127014756202698
1582980141.7718337,950,-0.00859164074063301
1582980162.546023,960,-0.009999999776482582
1582980175.3201978,965,-0.009999999776482582
1582980286.9776814,1000,-0.006127011030912399
1582980425.1998818,1040,0.0016189605230465531
1582980445.6637392,1045,-0.0017007457790896297
1582980473.5710862,1050,-0.009999999776482582
1582980528.7284505,1070,0.005491943564265966
1582980720.0149739,1125,-0.008340147323906422
1582980761.157268,1135,-0.009999999776482582
1582980815.7373757,1155,-0.004190520849078894
1582980857.77495,1170,-0.008340149186551571
1582980876.4269922,1180,-0.006127014756202698
1582980935.1232479,1195,-0.005696681793779135
1582981133.2787821,1255,-0.004190522246062756
1582981201.4953039,1285,0.0016189581947401166
1582981244.5240192,1300,-0.004190520383417606
1582981273.0823042,1310,-0.006127013359218836
1582981300.6112072,1315,-0.0019561052322387695
1582981331.5870712,1325,0.007428438868373632
1582981391.948707,1345,-0.008838104084134102
1582981472.4168892,1365,-0.0009630318381823599
1582981501.4683561,1375,-0.00031753405346535146
1582981611.9761024,1400,-0.0012857815017923713
1582981813.4699874,1475,-0.009999999776482582
1582981884.3957317,1500,-0.0013602613471448421
1582981898.3572907,1505,-0.01774596981704235
1582981941.271921,1525,0.013237914070487022
1582981952.913764,1530,0.003555451286956668
1582982004.3933392,1550,-0.002782161347568035
1582982019.5543818,1555,-0.0022540276404470205
1582982046.1583016,1570,-0.0035450237337499857
1582982085.4386754,1585,-0.009999999776482582
1582982191.830375,1615,-0.004190520383417606
1582982209.6483414,1620,-0.008450805209577084
1582982334.83863,1650,-0.0012857801048085093
1582982355.916659,1655,-0.00457781832665205
1582982372.431172,1660,-0.005531169008463621
1582982419.8256743,1675,-0.009999999776482582
1582982631.409487,1720,-0.006127011030912399
1582982769.7105231,1760,-0.009999999776482582
1582982975.7895572,1825,-0.002254026709124446
1582983036.3618863,1840,-0.009031753055751324
1582983103.6159503,1860,-0.008709004148840904
1582983204.8413017,1890,-0.002254028804600239
1582983278.5339181,1910,-0.006127015687525272
1582983299.887412,1915,0.0035554522182792425
1582983317.872611,1920,-0.007418009918183088
1582983431.9592311,1955,-0.005352416075766087
1582983508.8460426,1980,-0.006127013359218836
1582983524.6287189,1985,-0.0061270128935575485
1582983765.20178,2070,-0.009999999776482582
1582983892.8109453,2105,-0.004190520849078894
1582983955.8932755,2135,-0.009999999776482582
1582983964.5388534,2140,-0.002254028571769595
1582984006.8318763,2150,0.0016189583111554384
1582984079.9052901,2185,-0.004190521780401468
1582984203.1622212,2230,-0.0061270142905414104
1582984225.2529066,2240,-0.003222275525331497
1582984231.9299147,2245,0.0016189593588933349
1582984263.2124631,2260,-0.004190518986433744
