Wall time,Step,Value
1582977241.7223086,44,547.0
1582977258.7949271,47,402.0
1582977475.1313016,73,934.0
1582977656.237574,96,416.0
1582978122.8210685,160,1000.0
1582978180.8961966,169,303.0
1582978914.2498972,231,1000.0
1582978952.9862165,236,1000.0
1582979118.091066,257,801.0
1582979260.3164532,275,426.0
1582979549.9372396,311,1000.0
1582979567.390559,313,464.0
1582979618.0797143,321,1000.0
1582980458.562857,424,1000.0
1582980771.3422852,463,1000.0
1582980883.2987216,477,1000.0
1582981333.1243417,539,976.0
1582981686.5172079,582,1000.0
1582981744.446133,589,1000.0
1582982090.376889,637,722.0
1582982178.2441113,650,1000.0
1582982301.666423,674,531.0
1582982592.5616899,717,814.0
1582982641.1204777,725,887.0
1582982975.4337409,774,1000.0
1582983045.5716674,788,245.0
1582983177.2524176,805,1000.0
1582983229.8914828,811,1000.0
1582983460.4144878,839,1000.0
1582984179.2646782,948,280.0
1582984338.5485537,974,1000.0
1582984596.0447206,1017,504.0
1582984890.2015517,1069,480.0
1582985115.584325,1107,399.0
1582985471.0036788,1183,286.0
1582985874.8274457,1264,219.0
1582986099.8630288,1319,314.0
1582986112.0997255,1322,315.0
1582986180.9964685,1336,284.0
1582986193.5421133,1340,242.0
1582986329.6726506,1388,124.0
1582986345.5614598,1395,206.0
1582986538.1412015,1439,220.0
1582986654.569985,1469,612.0
1582986855.7315795,1526,439.0
1582986945.05816,1555,564.0
1582987006.0805817,1571,184.0
1582987057.510467,1587,598.0
1582987253.6369007,1644,93.0
1582987387.7416193,1695,272.0
1582987453.2273686,1713,263.0
1582987470.9471943,1722,84.0
1582987520.5365171,1739,212.0
1582987530.5271864,1742,211.0
1582987636.69681,1786,345.0
1582987861.4444563,1849,223.0
1582987919.716821,1871,426.0
1582987928.8005242,1874,265.0
1582987958.5162234,1883,288.0
1582988084.1935744,1923,379.0
1582988130.1149578,1940,199.0
1582988161.4593534,1953,264.0
1582988481.663675,2042,910.0
1582988682.9783177,2103,281.0
1582988930.7678757,2195,222.0
1582988956.5454912,2207,386.0
1582989024.8610976,2239,287.0
1582989038.9169054,2245,181.0
1582989095.0891953,2265,366.0
1582989108.3315043,2270,85.0
1582989234.174398,2317,200.0
1582989269.2288406,2329,276.0
1582989356.5773833,2364,109.0
1582989441.5340204,2399,198.0
1582989452.8287067,2400,210.0
1582989595.5359209,2447,148.0
1582989639.119061,2464,323.0
1582989644.8107412,2466,284.0
1582989656.5500178,2471,219.0
1582989721.0097418,2496,296.0
1582989724.9799125,2497,185.0
1582989763.8710375,2509,573.0
1582989777.789033,2514,63.0
1582989856.149949,2543,976.0
1582989895.2707798,2559,350.0
1582989912.8607311,2566,225.0
1582990249.4937394,2699,237.0
1582990370.5086267,2754,98.0
1582990492.7742612,2804,496.5
1582990749.4324896,2911,232.0
1582990922.6121986,2984,148.0
1582991020.9691327,3028,192.0
1582991081.6834385,3056,366.0
1582991088.8820498,3059,154.0
1582991201.4808304,3117,189.0
1582991309.7494962,3180,174.0
1582991454.2252605,3249,271.0
1582991490.907195,3263,268.0
1582991493.1007023,3265,54.0
1582991495.8532815,3266,580.0
1582991610.8445063,3325,215.0
1582991975.2954476,3500,83.0
1582992211.8287127,3621,78.0
1582992251.5980246,3639,128.0
1582992256.7380278,3641,248.0
1582992368.120391,3692,180.0
1582992484.9228714,3749,230.0
1582992515.4156642,3764,161.0
1582992612.1599233,3816,194.0
1582992646.7506938,3837,150.0
1582992655.4248552,3844,75.0
1582992842.8420322,3951,65.0
1582992887.4354818,3979,225.0
1582992941.4937453,4007,92.0
1582993023.649808,4059,194.0
1582993137.2444792,4121,182.0
1582993294.2993755,4220,84.0
1582993343.8882809,4253,111.0
1582993353.2630627,4258,192.0
1582993470.4090579,4330,158.0
1582993492.4676852,4343,113.0
1582993496.1150432,4345,155.0
1582993632.9328249,4426,136.0
1582993794.7218091,4519,72.0
1582993823.5115638,4537,87.0
1582993865.8762891,4559,128.0
1582994033.7928474,4659,434.0
1582994092.25064,4695,156.0
1582994099.229356,4699,167.0
1582994119.2073245,4707,129.0
1582994243.2136304,4782,73.0
1582994298.1279407,4821,190.0
1582994321.0433369,4835,116.0
1582994384.2461727,4874,316.0
1582994404.5653188,4886,134.0
1582994476.9619606,4929,193.0
1582994589.6604688,4997,129.0
1582994609.0740497,5006,117.0
1582994613.7916186,5009,302.0
1582994739.4951582,5085,126.0
1582994740.5433295,5087,138.0
1582994853.1250024,5142,108.0
1582994895.932655,5170,104.0
1582995069.2758405,5279,118.0
1582995208.6099463,5369,134.0
1582995231.4659436,5385,109.0
1582995260.1035128,5399,87.0
1582995360.7042806,5460,113.0
1582995519.9900186,5558,146.0
1582995576.0819504,5590,97.0
1582995762.1893208,5706,148.0
1582995781.8319805,5721,71.0
1582995856.2537618,5765,193.0
1582996009.6836517,5850,88.0
1582996032.198117,5867,89.0
1582996036.1077244,5870,127.0
1582996091.146602,5906,263.0
1582996099.220343,5913,67.0
1582996158.5380394,5949,208.0
1582996187.409796,5970,70.0
1582996284.8137622,6033,63.0
1582996314.305992,6054,79.0
1582996492.9561496,6166,113.0
1582996507.279378,6176,173.0
1582996610.492212,6245,116.0
1582996630.2408402,6258,112.0
1582996641.7724187,6264,268.0
1582996659.944331,6277,136.0
1582996757.020038,6335,134.0
1582996792.6601677,6358,113.0
1582996801.8663962,6363,176.0
1582996896.304013,6425,118.0
1582996936.6179829,6450,122.0
1582997076.6209884,6547,192.0
1582997109.8774054,6571,105.0
1582997203.3051362,6625,195.0
1582997249.5628939,6654,163.0
1582997331.316317,6709,147.0
1582997391.0560946,6749,120.0
1582997396.2933161,6752,52.0
1582997414.3814483,6764,132.0
1582997470.354966,6795,191.0
1582997671.502615,6900,108.0
1582997687.3772876,6909,105.0
1582997711.8380153,6924,164.0
1582997870.2397127,7021,78.0
1582997916.6069486,7047,130.0
1582997948.062771,7069,128.0
1582998089.35324,7162,154.0
